IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,283,1.04
34.80.157.249,443,443,true,TPE,Asia Pacific,Taipei,66,1.03
34.118.46.204,443,443,true,FRA,Europe,Frankfurt,252,0.94
34.154.233.248,443,443,true,FRA,Europe,Frankfurt,269,0.90
34.118.69.177,443,443,true,FRA,Europe,Frankfurt,257,0.88
34.118.17.244,443,443,true,FRA,Europe,Frankfurt,322,0.88
34.65.12.249,443,443,true,FRA,Europe,Frankfurt,314,0.85
34.89.223.191,443,443,true,FRA,Europe,Frankfurt,236,0.83
34.97.64.116,8443,443,true,KIX,Asia Pacific,Osaka,85,0.83
34.97.64.116,8443,443,true,KIX,Asia Pacific,Osaka,132,0.83
34.97.64.116,8443,443,true,KIX,Asia Pacific,Osaka,149,0.78
34.65.167.137,443,443,true,FRA,Europe,Frankfurt,303,0.77
